"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/modules/community/screenswiki/public/js/prettify/lang-css.js","4","15","4","59"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/modules/community/screenswiki/public/js/prettify/lang-css.js","5","15","5","59"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/themes/downloaded/calipso/public/js/prettify/lang-css.js","4","15","4","59"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/themes/downloaded/calipso/public/js/prettify/lang-css.js","5","15","5","59"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/themes/downloaded/whichten/public/js/prettify/lang-css.js","4","15","4","59"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/themes/downloaded/whichten/public/js/prettify/lang-css.js","5","15","5","59"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/tmp/iancrowther-whichten-df2aeef/public/js/prettify/lang-css.js","4","15","4","59"
"Inefficient regular expression","A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.","error","This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\n'.","/tmp/iancrowther-whichten-df2aeef/public/js/prettify/lang-css.js","5","15","5","59"
"Potentially unsafe external link","External links that open in a new tab or window but do not specify link type 'noopener' or 'noreferrer' are a potential security risk.","warning","External links without noopener/noreferrer are a potential security risk.","/modules/community/calipso-repo/templates/show.html","60","42","60","108"
"Client-side URL redirect","Client-side URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection due to [[""user-provided value""|""relative:///modules/core/aloha/public/lib/aloha-bare.js:73310:12:73310:24""]].","/modules/core/aloha/public/lib/aloha-bare.js","73311","27","73311","32"
"Client-side URL redirect","Client-side URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection due to [[""user-provided value""|""relative:///modules/core/aloha/public/lib/aloha-full.js:84796:12:84796:24""]].","/modules/core/aloha/public/lib/aloha-full.js","84797","27","84797","32"
"Client-side URL redirect","Client-side URL redirection based on unvalidated user input may cause redirection to malicious web sites.","error","Untrusted URL redirection due to [[""user-provided value""|""relative:///modules/core/aloha/public/lib/aloha.js:75468:12:75468:24""]].","/modules/core/aloha/public/lib/aloha.js","75470","27","75470","32"
